AUD,20180706,2.7586,2.7586,2.7586,2.7586,0
BGN,20180706,2.2293,2.2293,2.2293,2.2293,0
BRL,20180706,0.9465,0.9465,0.9465,0.9465,0
CAD,20180706,2.8341,2.8341,2.8341,2.8341,0
CHF,20180706,3.7507,3.7507,3.7507,3.7507,0
CLP,20180706,0.5670,0.5670,0.5670,0.5670,0
CNY,20180706,0.5600,0.5600,0.5600,0.5600,0
CZK,20180706,0.1681,0.1681,0.1681,0.1681,0
DKK,20180705,0.5850,0.5850,0.5850,0.5850,0
EUR,20180704,4.3600,4.3600,4.3600,4.3600,0
GBP,20180706,4.9305,4.9305,4.9305,4.9305,0
HKD,20180706,0.4743,0.4743,0.4743,0.4743,0
HRK,20180706,0.5882,0.5882,0.5882,0.5882,0
HUF,20180706,1.3450,1.3450,1.3450,1.3450,0
IDR,20180706,2.5903,2.5903,2.5903,2.5903,0
ILS,20180706,1.0237,1.0237,1.0237,1.0237,0
INR,20180706,5.4011,5.4011,5.4011,5.4011,0
ISK,20180706,3.4936,3.4936,3.4936,3.4936,0
JPY,20180706,3.3645,3.3645,3.3645,3.3645,0
KRW,20180706,0.3335,0.3335,0.3335,0.3335,0
MXN,20180706,0.1936,0.1936,0.1936,0.1936,0
MYR,20180706,0.9217,0.9217,0.9217,0.9217,0
NOK,20180706,0.4613,0.4613,0.4613,0.4613,0
NZD,20180706,2.5379,2.5379,2.5379,2.5379,0
PHP,20180706,0.0698,0.0698,0.0698,0.0698,0
RON,20180706,0.9349,0.9349,0.9349,0.9349,0
RUB,20180706,0.0589,0.0589,0.0589,0.0589,0
SEK,20180706,0.4239,0.4239,0.4239,0.4239,0
SGD,20180706,2.7362,2.7362,2.7362,2.7362,0
THB,20180706,0.1122,0.1122,0.1122,0.1122,0
TRY,20180706,0.8075,0.8075,0.8075,0.8075,0
UAH,20180706,0.1414,0.1414,0.1414,0.1414,0
USD,20180706,3.7222,3.7222,3.7222,3.7222,0
XDR,20180706,5.2461,5.2461,5.2461,5.2461,0
ZAR,20180706,0.2742,0.2742,0.2742,0.2742,0
