AUD;19000626;2.7516;2.7516;2.7516;2.7516;0
BGN;19000626;2.2176;2.2176;2.2176;2.2176;0
CAD;20170706;2.8341;2.8341;2.8341;2.8341;0
CHF;20180506;3.7507;3.7507;3.7507;3.7507;0
AUD;20180626;2.7516;2.7516;2.7516;2.7516;0
BGN;20180626;2.2176;2.2176;2.2176;2.2176;0
BRL;20180626;0.9837;0.9837;0.9837;0.9837;0
CAD;20180626;2.7936;2.7936;2.7936;2.7936;0
CHF;20180626;3.7595;3.7595;3.7595;3.7595;0
CLP;20180626;0.5817;0.5817;0.5817;0.5817;0
CNY;20180626;0.5660;0.5660;0.5660;0.5660;0
CZK;20180626;0.1674;0.1674;0.1674;0.1674;0
DKK;20180626;0.5821;0.5821;0.5821;0.5821;0
EUR;20180626;4.3372;4.3372;4.3372;4.3372;0
GBP;20180626;4.9281;4.9281;4.9281;4.9281;0
HKD;20180626;0.4733;0.4733;0.4733;0.4733;0
HRK;20180626;0.5876;0.5876;0.5876;0.5876;0
HUF;20180626;1.3320;1.3320;1.3320;1.3320;0
IDR;20180626;2.6203;2.6203;2.6203;2.6203;0
ILS;20180626;1.0261;1.0261;1.0261;1.0261;0
INR;20180626;5.4542;5.4542;5.4542;5.4542;0
ISK;20180626;3.4368;3.4368;3.4368;3.4368;0
JPY;20180626;3.3883;3.3883;3.3883;3.3883;0
KRW;20180626;0.3327;0.3327;0.3327;0.3327;0
MXN;20180626;0.1860;0.1860;0.1860;0.1860;0
MYR;20180626;0.9240;0.9240;0.9240;0.9240;0
NOK;20180626;0.4580;0.4580;0.4580;0.4580;0
NZD;20180626;2.5544;2.5544;2.5544;2.5544;0
PHP;20180626;0.0693;0.0693;0.0693;0.0693;0
RON;20180626;0.9293;0.9293;0.9293;0.9293;0
RUB;20180626;0.0592;0.0592;0.0592;0.0592;0
SEK;20180626;0.4198;0.4198;0.4198;0.4198;0
SGD;20180626;2.7302;2.7302;2.7302;2.7302;0
THB;20180626;0.1127;0.1127;0.1127;0.1127;0
TRY;20180626;0.7934;0.7934;0.7934;0.7934;0
UAH;20180626;0.1417;0.1417;0.1417;0.1417;0
USD;20180626;3.7151;3.7151;3.7151;3.7151;0
XDR;20180626;5.2308;5.2308;5.2308;5.2308;0
ZAR;20180626;0.2741;0.2741;0.2741;0.2741;0
AUD;20180627;2.7519;2.7519;2.7519;2.7519;0
BGN;20180627;2.2206;2.2206;2.2206;2.2206;0
BRL;20180627;0.9835;0.9835;0.9835;0.9835;0
CAD;20180627;2.8037;2.8037;2.8037;2.8037;0
CHF;20180627;3.7669;3.7669;3.7669;3.7669;0
CLP;20180627;0.5827;0.5827;0.5827;0.5827;0
CNY;20180627;0.5650;0.5650;0.5650;0.5650;0
CZK;20180627;0.1676;0.1676;0.1676;0.1676;0
DKK;20180627;0.5829;0.5829;0.5829;0.5829;0
EUR;20180627;4.3430;4.3430;4.3430;4.3430;0
GBP;20180627;4.9285;4.9285;4.9285;4.9285;0
HKD;20180627;0.4759;0.4759;0.4759;0.4759;0
HRK;20180627;0.5884;0.5884;0.5884;0.5884;0
HUF;20180627;1.3271;1.3271;1.3271;1.3271;0
IDR;20180627;2.6344;2.6344;2.6344;2.6344;0
ILS;20180627;1.0246;1.0246;1.0246;1.0246;0
INR;20180627;5.4396;5.4396;5.4396;5.4396;0
ISK;20180627;3.4744;3.4744;3.4744;3.4744;0
JPY;20180627;3.4024;3.4024;3.4024;3.4024;0
KRW;20180627;0.3335;0.3335;0.3335;0.3335;0
MXN;20180627;0.1869;0.1869;0.1869;0.1869;0
MYR;20180627;0.9267;0.9267;0.9267;0.9267;0
NOK;20180627;0.4574;0.4574;0.4574;0.4574;0
NZD;20180627;2.5459;2.5459;2.5459;2.5459;0
PHP;20180627;0.0698;0.0698;0.0698;0.0698;0
RON;20180627;0.9337;0.9337;0.9337;0.9337;0
RUB;20180627;0.0590;0.0590;0.0590;0.0590;0
SEK;20180627;0.4183;0.4183;0.4183;0.4183;0
SGD;20180627;2.7363;2.7363;2.7363;2.7363;0
THB;20180627;0.1131;0.1131;0.1131;0.1131;0
TRY;20180627;0.8023;0.8023;0.8023;0.8023;0
UAH;20180627;0.1420;0.1420;0.1420;0.1420;0
USD;20180627;3.7351;3.7351;3.7351;3.7351;0
XDR;20180627;5.2497;5.2497;5.2497;5.2497;0
ZAR;20180627;0.2731;0.2731;0.2731;0.2731;0
AUD;20180628;2.7672;2.7672;2.7672;2.7672;0
BGN;20180628;2.2275;2.2275;2.2275;2.2275;0
BRL;20180628;0.9765;0.9765;0.9765;0.9765;0
CAD;20180628;2.8268;2.8268;2.8268;2.8268;0
CHF;20180628;3.7764;3.7764;3.7764;3.7764;0
CLP;20180628;0.5835;0.5835;0.5835;0.5835;0
CNY;20180628;0.5689;0.5689;0.5689;0.5689;0
